
Slice Plan:
=============================================
Number of slices: 30
Number of passes: 10
Slices per pass:  3

slpass	sltime	slloc
---------------------------------------------
000   	000   	000
001   	000   	001
002   	000   	002
003   	000   	003
004   	000   	004
005   	000   	005
006   	000   	006
007   	000   	007
008   	000   	008
009   	000   	009
000   	002   	010
001   	002   	011
002   	002   	012
003   	002   	013
004   	002   	014
005   	002   	015
006   	002   	016
007   	002   	017
008   	002   	018
009   	002   	019
000   	001   	020
001   	001   	021
002   	001   	022
003   	001   	023
004   	001   	024
005   	001   	025
006   	001   	026
007   	001   	027
008   	001   	028
009   	001   	029
=============================================

